,average_score,70%,80%,90%,95%,99%
TCGA-13-1491-01,0.896243826536185,-0.0527612046932349,-0.0455595020265742,-0.0330859255177727,-0.0168222308911578,0.0638109637033125
TCGA-13-1492-01,0.590559097373606,-0.0555008329978554,-0.0479962645006785,-0.0315902322372765,-0.0156086114039958,0.0380184480470388
TCGA-13-1494-01,3.30797832704421,-0.0321845039334943,-0.0227909319693603,-0.00616300004352553,0.0107179220665735,0.0998228697445262
TCGA-13-1495-01,1.54745217333594,-0.0414007080114976,-0.0341245114523277,-0.020897487525266,-0.00625226162858076,0.0587247008436975
TCGA-13-1496-01,0.589885429468577,-0.0582306344057033,-0.0508074925372735,-0.0368951303011483,-0.0188887489857913,0.0603057679829391
TCGA-13-1497-01,0.130625242746267,-0.0824438462261089,-0.0728790220185014,-0.0572121585225228,-0.0360412501312307,0.0718681382573982
TCGA-13-1498-01,0.18384904934231,-0.0779996662780386,-0.071109320207575,-0.0571551940217237,-0.0395069075214974,0.0951226896583283
TCGA-13-1499-01,1.19114040195235,-0.0570888803072179,-0.0501572081915648,-0.0357514734878542,-0.0192427087828169,0.0436677873919907
TCGA-13-1501-01,1.50769332114304,-0.0389515983364031,-0.0290927242767108,-0.0118404746665119,0.00983212171278536,0.0918239498733613
TCGA-13-1504-01,3.27190022595049,-0.0324980716948453,-0.02298386248713,-0.00724028154833254,0.0100316881901092,0.111020420225459
TCGA-13-1505-01,0.724385843630967,-0.0536863698988467,-0.0470248730450256,-0.0350612159746763,-0.0192687283738889,0.0376217260208946
TCGA-13-1507-01,0.220763013428054,-0.073142960103167,-0.0638939570200934,-0.0515142801030289,-0.0376540029979437,0.091591513272629
TCGA-13-1509-01,0.312080877984449,-0.0670705290178921,-0.0581067861302523,-0.0413148551711572,-0.0242193836398635,0.188010430190875
TCGA-13-1510-01,-0.019831542499984,-0.046416774027646,-0.0460311615501442,-0.0315648820508705,-0.016742760548186,0.0289041803153658
TCGA-13-1512-01,0.607397883647017,-0.0579934634835803,-0.0506133279249802,-0.0358749184570343,-0.0194290334512447,0.0597733655436612
TCGA-13-2057-01,0.0843343618270488,-0.0894222307480763,-0.081670627100281,-0.0683119078218836,-0.0537597791948705,0.0890808462242797
TCGA-13-2059-01,0.355967232655008,-0.0669428523861899,-0.0602036735596299,-0.0473500721711253,-0.0290947500340923,0.0637648793938892
TCGA-13-2060-01,0.899430525662628,-0.0499736924015943,-0.0418105499511702,-0.026636817483442,-0.00680665525300471,0.0837789670204532
TCGA-13-2061-01,0.485101179020141,-0.0600384410549309,-0.0523139991630832,-0.0358982146205263,-0.0196434865469519,0.0637324544551931
TCGA-13-2065-01,-0.0462320794911756,-0.0585411626619991,-0.0509871696407919,-0.0392674651030529,-0.025419428745389,0.0245287023137433
TCGA-13-2066-01,0.892069284518164,-0.0504369932324823,-0.0413741244456952,-0.0259470064763634,-0.00481410583577133,0.0703178962396909
TCGA-13-2071-01,0.299803317146787,-0.0694683175705657,-0.0617019132727204,-0.0464367398246671,-0.0306050500475638,0.03935234668398
TCGA-20-0987-01,1.54065067245839,-0.0406650591367028,-0.0331713957941507,-0.019494170865779,-0.00380941755221627,0.0717566493526836
TCGA-20-0990-01,0.49925950025493,-0.0616225556332154,-0.0521554535064308,-0.0367063169588999,-0.0184724754710791,0.057748099921871
TCGA-20-0991-01,1.12492891292582,-0.0460096500056872,-0.0378034707196777,-0.0238704491302455,-0.00238371177242648,0.101220119466886
TCGA-20-1682-01,0.58197762047076,-0.0577154946059593,-0.0494916886912699,-0.0355607376999527,-0.0149141211652387,0.0711974585975161
TCGA-20-1683-01,0.7281599911345,-0.0536626694595779,-0.0457759757547574,-0.030422432770882,-0.0100002779210248,0.0650521280867257
TCGA-20-1684-01,-0.0327027666086256,-0.0520103156324473,-0.0405413207307893,-0.0296289125626388,-0.0201012515056426,0.0187779864480653
TCGA-20-1685-01,3.29177895919249,-0.0311732686466421,-0.0213782397524586,-0.00194817310275358,0.0269509943622573,0.12183601543016
TCGA-20-1686-01,0.609351965519001,-0.0578184388044549,-0.0506582325611136,-0.0369141990947628,-0.0183018799441744,0.0530522504829046
TCGA-20-1687-01,1.13844637682297,-0.0448202733338684,-0.0361598320946297,-0.0204944582905537,0.000249417675131907,0.0739502445032064
TCGA-23-1021-01,0.358872271523113,-0.0676587636532761,-0.0595445075367025,-0.0436094448445487,-0.0249843837915221,0.0804751556795249
TCGA-23-1022-01,0.0471439816531877,-0.0903061530632228,-0.0816874622327069,-0.0654324978852798,-0.0468667448274267,0.143973087078088
TCGA-23-1027-01,1.41864198834987,-0.0448448785290727,-0.0345699427387433,-0.0208699841193423,-0.00785073361724556,0.0435059672886223
TCGA-23-1029-01,1.16453155653715,-0.0477076155031993,-0.04000329811961,-0.0257921256113194,-0.00741700180666601,0.0921536602949607
TCGA-23-1030-01,2.25536896153685,-0.0445699700296585,-0.0352191315665803,-0.0199221239108866,-0.0020436901176051,0.0589153058498069
TCGA-23-1031-01,0.598523319411063,-0.0571126707475327,-0.0509197329927891,-0.0394325198690532,-0.0239940205433206,0.0430405083630234
TCGA-23-1032-01,0.505115516872835,-0.0591534184348897,-0.0524532401712878,-0.0398823188414143,-0.0231993659374162,0.0486781603912635
TCGA-23-1110-01,0.497962193557577,-0.0617795867256709,-0.0546525154612724,-0.0425475476264444,-0.0238149279581411,0.0547288706963853
TCGA-23-1111-01,1.52572474834017,-0.0411966322474536,-0.032217153892037,-0.0163993836476053,0.00436936809544821,0.072241982331255
TCGA-23-1114-01,1.01077950077563,-0.0611867140080927,-0.0543943051808824,-0.0406679287354605,-0.0250556165133324,0.0607200161920555
TCGA-23-1116-01,3.24001058224896,-0.0336067135814559,-0.0230885557138964,-0.00464530320297918,0.0190436042481549,0.123507304517652
TCGA-23-1117-01,0.449933973100422,-0.0786329511865623,-0.0715735219831321,-0.0592526561550457,-0.0424126499700103,0.0747295059943695
TCGA-23-1118-01,0.496845284660837,-0.0592806536461854,-0.0513370580431401,-0.0382759250127209,-0.0207416198835814,0.0505092677564019
TCGA-23-1122-01,0.863999754450561,-0.0498338984869445,-0.0409038461252215,-0.0230034531738387,0.00257476638042671,0.134586554651051
TCGA-23-1123-01,0.350626599929534,-0.0657085066429342,-0.0585927229778252,-0.0468405617502173,-0.033431790321611,0.0341671686894773
TCGA-23-1124-01,0.133822922670505,-0.0817658874339935,-0.0741123519028592,-0.062541741130361,-0.0454527148360347,0.134000624885003
TCGA-23-1809-01,-0.0455122566044288,-0.0569943408857063,-0.0510643639516067,-0.0417490370137092,-0.030166912814782,0.00915805983266483
TCGA-23-2072-01,2.27026832865329,-0.0472802786137197,-0.0396063047886359,-0.0274884768713601,-0.0131350702379866,0.0630033858674574
